"","name","source","description","url"
1,"NCBI-Taxonomy","National Center for Biotechnology Information","Taxonomy database of organisms","https://www.ncbi.nlm.nih.gov/taxonomy"
2,"NCIt","National Cancer Institute","Terminology of biomedical concepts","https://ncit.nci.nih.gov"
3,"ChEBI","European Molecular Biology Laboratory","Chemical Entities of Biological Interest","https://www.ebi.ac.uk/chebi/"
4,"DrugBank","Wishart's group","DrugBank database","https://www.drugbank.ca/"
5,"PubChem","PubChem compound database","Public repository for information on chemical substances and their biological activities","https://pubchem.ncbi.nlm.nih.gov/"
